k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
0.4,710,304,8899,382,0.3498168498168498,0.03303270672606759,4124.0,0.4005828071879553,FD002,1.0,10,20
0.45,728,327,8876,364,0.3333333333333333,0.035531891774421384,3967.0,0.3853326857697912,FD002,1.0,10,20
0.5,753,357,8846,339,0.31043956043956045,0.038791698359230686,3747.0,0.36396308887809614,FD002,1.0,10,20
0.55,776,393,8810,316,0.2893772893772894,0.04270346626100185,3553.0,0.3451189898008742,FD002,1.0,10,20
0.6,807,439,8764,285,0.260989010989011,0.04770183635770944,3289.0,0.3194754735308402,FD002,1.0,10,20
0.65,835,476,8727,257,0.23534798534798534,0.051722264478974246,3046.0,0.2958717824186498,FD002,1.0,10,20
0.7,849,518,8685,243,0.22252747252747251,0.056285993697707266,2948.0,0.28635259834871296,FD002,1.0,10,20
0.75,866,568,8635,226,0.20695970695970695,0.06171900467238944,2828.0,0.2746964545896066,FD002,1.0,10,20
0.8,885,616,8587,207,0.18956043956043955,0.06693469520808432,2686.0,0.26090335114133073,FD002,1.0,10,20
0.85,911,671,8532,181,0.16575091575091574,0.07291100728023471,2481.0,0.24099077221952403,FD002,1.0,10,20
0.9,931,733,8470,161,0.14743589743589744,0.0796479408888406,2343.0,0.22758620689655173,FD002,1.0,10,20
0.95,948,799,8404,144,0.13186813186813187,0.08681951537542106,2239.0,0.21748421563865955,FD002,1.0,10,20
1.0,963,859,8344,129,0.11813186813186813,0.09333912854503966,2149.0,0.20874210781932978,FD002,1.0,10,20
1.05,976,926,8277,116,0.10622710622710622,0.10061936325111377,2086.0,0.20262263234579894,FD002,1.0,10,20
1.1,986,1017,8186,106,0.09706959706959707,0.11050744322503532,2077.0,0.20174842156386597,FD002,1.0,10,20
1.15,999,1094,8109,93,0.08516483516483517,0.11887428012604585,2024.0,0.19660029140359397,FD002,1.0,10,20
1.2,1008,1185,8018,84,0.07692307692307693,0.12876236009996742,2025.0,0.19669742593491987,FD002,1.0,10,20
1.25,1017,1293,7910,75,0.06868131868131869,0.1404976638052809,2043.0,0.19844584749878583,FD002,1.0,10,20
1.3,1019,1369,7834,73,0.06684981684981685,0.1487558404867978,2099.0,0.20388538125303546,FD002,1.0,10,20
1.35,1029,1470,7733,63,0.057692307692307696,0.15973052265565577,2100.0,0.20398251578436133,FD002,1.0,10,20
1.4,1035,1558,7645,57,0.0521978021978022,0.16929262197109637,2128.0,0.20670228266148616,FD002,1.0,10,20
1.45,1038,1685,7518,54,0.04945054945054945,0.1830924698467891,2225.0,0.21612433220009714,FD002,1.0,10,20
1.5,1046,1794,7409,46,0.04212454212454213,0.19493643377159622,2254.0,0.21894123360854784,FD002,1.0,10,20
1.55,1048,1921,7282,44,0.040293040293040296,0.20873628164728894,2361.0,0.2293346284604177,FD002,1.0,10,20
1.6,1052,2040,7163,40,0.03663003663003663,0.2216668477670325,2440.0,0.2370082564351627,FD002,1.0,10,20
1.65,1057,2168,7035,35,0.03205128205128205,0.23557535586221884,2518.0,0.24458474987858184,FD002,1.0,10,20
1.7,1061,2292,6911,31,0.028388278388278388,0.24904922307943061,2602.0,0.2527440505099563,FD002,1.0,10,20
1.75,1062,2423,6780,30,0.027472527472527472,0.2632837118330979,2723.0,0.26449732880038856,FD002,1.0,10,20
1.8,1066,2538,6665,26,0.023809523809523808,0.2757796370748669,2798.0,0.27178241864983,FD002,1.0,10,20
1.85,1067,2690,6513,25,0.022893772893772892,0.29229599043790067,2940.0,0.2855755220981059,FD002,1.0,10,20
1.9,1067,2794,6409,25,0.022893772893772892,0.3035966532652396,3044.0,0.29567751335599807,FD002,1.0,10,20
1.95,1069,2910,6293,23,0.021062271062271064,0.31620123872650224,3140.0,0.3050024283632832,FD002,1.0,10,20
2.0,1071,3035,6168,21,0.019230769230769232,0.32978376616320765,3245.0,0.31520155415250123,FD002,1.0,10,20
0.0,537,152,9051,555,0.5082417582417582,0.016516353363033795,11252.0,1.0929577464788733,FD002,1.0,20,20
0.05,557,164,9039,535,0.4899267399267399,0.017820275996957513,10864.0,1.0552695483244294,FD002,1.0,20,20
0.1,580,191,9012,512,0.46886446886446886,0.020754101923285886,10431.0,1.0132102962603204,FD002,1.0,20,20
0.15,601,205,8998,491,0.44963369963369965,0.02227534499619689,10025.0,0.9737736765420106,FD002,1.0,20,20
0.2,615,219,8984,477,0.4368131868131868,0.0237965880691079,9759.0,0.9479358912093249,FD002,1.0,20,20
0.25,640,240,8963,452,0.4139194139194139,0.02607845267847441,9280.0,0.9014084507042254,FD002,1.0,20,20
0.3,663,261,8942,429,0.39285714285714285,0.02836031728784092,8841.0,0.8587663914521613,FD002,1.0,20,20
0.35,688,280,8923,404,0.36996336996337,0.030424861458220147,8360.0,0.8120446818844099,FD002,1.0,20,20
0.4,710,304,8899,382,0.3498168498168498,0.03303270672606759,7944.0,0.7716367168528412,FD002,1.0,20,20
0.45,728,327,8876,364,0.3333333333333333,0.035531891774421384,7607.0,0.7389023797960175,FD002,1.0,20,20
